FileName,CPUTime,HeapUsage,GC_TotalPauseTime,ConcurrencyCost,IOWritten,IOWrittenDuration,IORead,IOReadDuration
file22.als-1708293192.jfr,90%,20MB,55.4,50.7ms,74bytes,40.6ms,33.2bytes,59.7ms
file23.als-1708293193.jfr,90%,20MB,16.9,57.8ms,bytes,ms,bytes,ms
file24.als-1708293194.jfr,88.8889%,67.2MB,66.5,37.8333ms,87bytes,43.6ms,6.8bytes,53.2ms
file25.als-1708293197.jfr,90%,64.6MB,82.9,58.35ms,bytes,ms,269.6bytes,110.2ms
file26.als-1708293200.jfr,90%,20MB,44.9,69.8667ms,bytes,ms,754bytes,25.1ms
file27.als-1708293204.jfr,100%,62.1MB,105.3,65.05ms,bytes,ms,44.2bytes,103.9ms
file28.als-1708293206.jfr,91.6667%,20.2MB,124,81.9ms,61bytes,37.4ms,360.6bytes,39.8ms
file29.als-1708293206.jfr,90.9091%,20MB,62.1,53.2667ms,37bytes,34.4ms,31.6bytes,49ms
file30.als-1708293209.jfr,91.6667%,60.4MB,103,55ms,40bytes,14.6ms,473.6bytes,78.2ms
file31.als-1708293210.jfr,90.9091%,20MB,32.8,52.7667ms,43bytes,32.9ms,31.6bytes,91.5ms
file32.als-1708293210.jfr,90.9091%,72.6MB,32.07,83.8ms,bytes,ms,61.6bytes,100.8ms
file33.als-1708293211.jfr,90%,63.5MB,103,147.5ms,34bytes,13.5ms,1.5bytes,17.2ms
file34.als-1708293211.jfr,90%,60.2MB,83.7,95.8333ms,bytes,ms,70bytes,151.5ms
file35.als-1708293214.jfr,90.9091%,69.2MB,77.4,52.7667ms,bytes,ms,bytes,ms
graph01.als-1708293218.jfr,87.5%,17.5MB,20.6,76.9667ms,25bytes,30.9ms,60bytes,75.9ms
graph02.als-1708293222.jfr,88.8889%,20.1MB,38.6,58.85ms,bytes,ms,349.5bytes,65.3ms
graph03.als-1708293224.jfr,87.5%,19.8MB,41.3,44.4667ms,bytes,ms,1039.5bytes,122ms
